id,name,rating,reviews,address,location_query,weighted_rating
DsTWI6wGM_OxH7N5SloZoA,Shru's Kitchen,5.0,95,"San Mateo, CA 94403","Belmont, CA",4.956329564489112
jdmkMkxKnUK00DGeK8YlzA,Sweet Vanilla Bake Shop,5.0,88,"Moraga, CA 94556","Moraga, CA",4.953024774774774
yegjuWrQasUkupdGs4fHqA,Daily Recess,5.0,68,"5800 Northgate Dr Ste FC 5 San Rafael, CA 94903","Novato, CA",4.940066091954023
z62KeVD79FAzUdUqGF76Aw,Chefs Way Catering,5.0,67,"HILLTOP MALL, CA 94806","Pinole, CA",4.9392278554778555
kBRrVwClKRqOwjWUQ4fCCw,Seremi,5.0,53,"Sunnyvale, CA 94087","Sunnyvale, CA",4.92443115942029
J4Hg9oX9eR2RkW77nyhvKQ,Epicurean Escape Catering,5.0,50,"2484 W Third St Santa Rosa, CA 95401","Healdsburg, CA",4.920271406727829
J5NS-Pfa2wjSoOEIlE6Bjw,YERSEN Gelato Cakes,4.9,663,"9000 Crow Canyon Rd Ste N Danville, CA 94506","Danville, CA",4.894164481897628
lmqWvqsyWqNHQAUM0Y47PA,Arakawa Pottery,5.0,35,"5588 Sweigert Rd San Jose, CA 95132","Milpitas, CA",4.889994725738396
Gm2Y0guxMT2TQJX8A1LGyg,Medleno Coffee Shop & Roastery,4.9,336,"480 San Ramon Valley Blvd Danville, CA 94526","Danville, CA",4.888560327949095
LDMu4Gs9ExInqIRWt7Z07A,Crust Baking,5.0,34,"1101 Pacific Ave Alameda, CA 94501","Alameda, CA",4.887137445887445
IsjIrnK21rDJJnInI-icYw,Goguette Bread,4.9,280,"59 Montgomery Dr Santa Rosa, CA 95404","Santa Rosa, CA",4.886308582308143
EAhsiX9Vss3kDUhQp9Hkgw,Tong Sui,4.9,253,"10619 S De Anza Blvd Cupertino, CA 95014","Cupertino, CA",4.884872977346278
x7EZl_Lk23pukkrw5cnUqw,Moschetti,4.9,245,"11 6th St Vallejo, CA 94590","Benicia, CA",4.88438794255177
CG9FrzCohu6pyY7Kdh-9-A,River Phin Coffee Roasters,5.0,33,"1010 Metro Center Blvd Foster City, CA 94404","Foster City, CA",4.884127777777778
7jQq88zGgFPWdvfQsN85NA,Patisserie By Simone,4.9,232,"2958 Pacific Ave Livermore, CA 94550","Livermore, CA",4.8835297744890775
vt7oGi83g4q3PICj-SXCOA,Mission Blue,4.9,224,"144 Leland Ave San Francisco, CA 94134","Brisbane, CA",4.882953136396791
a0R8EgGJbjkv_G7T24EcCQ,Le Testimony Organic Bistro,4.9,210,"3365 Placer St Redding, CA 96001","Helena, CA",4.88184052059052
vXjfFU-LkqR_NcJD9VgiJQ,Hopulent,4.9,204,"138 Tennessee St Vallejo, CA 94590","American Canyon, CA",4.881317945643485
ojVIt7xuDgebxQ34Jb_3jA,Flour & Bloom Cakes,5.0,31,"14301 Arnold Dr Ste 1C Glen Ellen, CA 95442","Sonoma, CA",4.877599765258216
dLbNCk0hioZ8uozb9wjYvA,Sugarcane HQ,4.9,152,"586 San Mateo Ave Ste A San Bruno, CA 94066","San Bruno, CA",4.875110489882855
aoflDZdt3OnKFHtkL0-Dwg,Shangri-La Buddha Vegan,4.9,147,"755 San Pablo Ave Albany, CA 94706","Albany, CA",4.874289053905391
LYOH65mtHFouKp0a5kjetw,ChaTo,4.9,79,"1825 Post St Fl 2, Ste 250 San Francisco, CA 94115","San Francisco, CA",4.853350798403194
R1lTHpoVBkJl8zerfqn8ZQ,Mister Artisan Cheesecake,4.9,77,"7749 El Camino Real Colma, CA 94014","Colma, CA",4.852206032719836
NLJCas7io2Ekp-wbGIQXIw,Cup of Love Coffee,4.9,63,"195 W Napa St Sonoma, CA 95476","Sonoma, CA",4.842293209876543
wwCdMIRperzN2dR84iZ8EA,Sips Global Teas,5.0,23,"2215 S Shore Ctr Ste B Alameda, CA 94501","Alameda, CA",4.841992424242424
TY0cWD1E6HJUU2_Fi6x6vw,Calaca Coffee,4.9,59,"605 2nd Ave Crockett, CA 94525","Benicia, CA",4.83865813648294
ZeWoe1VDnNs7ljxq6AhXlg,Banh Bakery,5.0,22,"Santa Clara, CA 95051","Santa Clara, CA",4.836029874213836
L0zM-3kMhrJkO6PLkgp5_w,The Little Flower Shop,4.9,56,"14 Ross Ave San Anselmo, CA 94960","San Anselmo, CA",4.8356163911845735
uGgZYhya2tAtR3e9jz_VZg,Sweetcanes Sugarcane Juicery,4.9,54,"6000 Bollinger Canyon Rd San Ramon, CA 94583","Danville, CA",4.833415242165242
voRSaoBaxzgoQYxFTktgEg,Humbowl,4.9,51,"1016 Court St San Rafael, CA 94901","San Anselmo, CA",4.8298160660660665
_nfl-63eDv9PnnKITAmJ_g,Crinkle Time,5.0,21,"Milpitas, CA 95035","Milpitas, CA",4.8295996732026145
4Qf26b-NHmry2r_2qK_Ipg,Hijau,4.9,48,"21250 Stevens Creek Blvd Cupertino, CA 95014","Cupertino, CA",4.825805555555555
1cudke11aYMsp8OMAjRrbA,Sojourn Coffee,4.9,48,"207 S Quincy Ave McCloud, CA 96057","Helena, CA",4.825805555555555
821291y9madKx97sGCjYsg,The Baking Endeavor,5.0,20,"Daly City, CA 94015","Colma, CA",4.822644557823129
